Date,Maximum Temperature degrees (F),Minimum Temperature degrees (F),Precipitation (inches),Snow (inches),Snow Depth (inches)
2014-01-01,1.0,-8.0,0.0,0.0,6.0
2014-01-02,4.0,-10.0,0.0,0.0,6.0
2014-01-03,29.0,-10.0,0.12,0.3,6.0
2014-01-04,35.0,-2.0,0.02,0.0,6.0
2014-01-05,-2.0,-20.0,0.0,0.0,6.0
2014-01-06,-12.0,-23.0,0.0,0.0,6.0
2014-01-07,5.0,-15.0,0.0,0.0,6.0
2014-01-08,4.0,-11.0,0.0,0.0,6.0
2014-01-09,20.0,-11.0,0.0,0.0,6.0
2014-01-10,31.0,16.0,0.0,0.0,6.0
2014-01-11,32.0,23.0,0.0,0.0,6.0
2014-01-12,40.0,22.0,0.0,0.0,6.0
2014-01-13,34.0,27.0,0.01,0.3,6.0
2014-01-14,28.0,7.0,0.26,4.1,9.0
2014-01-15,25.0,-1.0,0.03,0.5,10.0
2014-01-16,35.0,7.0,0.05,0.6,11.0
2014-01-17,13.0,1.0,0.0,0.0,10.0
2014-01-18,23.0,9.0,0.17,4.5,14.0
2014-01-19,39.0,17.0,0.0,0.0,13.0
2014-01-20,31.0,-3.0,0.01,0.2,10.0
2014-01-21,6.0,-13.0,0.02,0.5,10.0
2014-01-22,8.0,-8.0,0.01,0.6,11.0
2014-01-23,2.0,-17.0,0.0,0.0,11.0
2014-01-24,33.0,2.0,0.08,1.3,10.0
2014-01-25,24.0,2.0,0.11,2.3,11.0
2014-01-26,18.0,-8.0,0.09,1.1,13.0
2014-01-27,-6.0,-16.0,0.0,0.0,12.0
2014-01-28,0.0,-16.0,0.0,0.0,12.0
2014-01-29,34.0,-6.0,0.0,0.0,12.0
2014-01-30,28.0,-4.0,0.44,6.4,12.0
2014-01-31,9.0,-9.0,0.0,0.0,16.0
2014-02-01,22.0,-1.0,0.0,0.0,16.0
2014-02-02,14.0,-7.0,0.0,0.0,15.0
2014-02-03,16.0,-1.0,0.0,0.0,14.0
2014-02-04,11.0,-1.0,0.0,0.0,14.0
2014-02-05,4.0,-5.0,0.0,0.0,14.0
2014-02-06,4.0,-11.0,0.0,0.0,14.0
2014-02-07,12.0,-5.0,0.0,0.0,13.0
2014-02-08,15.0,-4.0,0.0,0.0,13.0
2014-02-09,9.0,-7.0,0.0,0.0,13.0
2014-02-10,8.0,-11.0,0.0,0.0,13.0
2014-02-11,13.0,-12.0,0.0,0.0,13.0
2014-02-12,24.0,12.0,0.03,0.5,13.0
2014-02-13,30.0,5.0,0.0,0.2,13.0
2014-02-14,16.0,1.0,0.0,0.0,13.0
2014-02-15,19.0,0.0,0.12,1.8,13.0
2014-02-16,22.0,4.0,0.0,0.0,14.0
2014-02-17,29.0,18.0,0.32,4.9,15.0
2014-02-18,44.0,16.0,0.0,0.0,18.0
2014-02-19,40.0,21.0,0.0,0.0,17.0
2014-02-20,36.0,15.0,0.83,8.4,16.0
2014-02-21,16.0,6.0,0.06,1.5,24.0
2014-02-22,14.0,4.0,0.0,0.0,23.0
2014-02-23,17.0,1.0,0.0,0.0,21.0
2014-02-24,14.0,-3.0,0.01,0.2,20.0
2014-02-25,6.0,-7.0,0.0,0.0,20.0
2014-02-26,20.0,-11.0,0.0,0.0,20.0
2014-02-27,1.0,-14.0,0.0,0.0,20.0
2014-02-28,14.0,-9.0,0.04,0.9,20.0
2014-03-01,8.0,-7.0,0.0,0.0,21.0
2014-03-02,3.0,-15.0,0.0,0.0,20.0
2014-03-03,10.0,-10.0,0.02,0.3,19.0
2014-03-04,19.0,7.0,0.0,0.0,19.0
2014-03-05,24.0,12.0,0.0,0.0,19.0
2014-03-06,26.0,12.0,0.0,0.0,16.0
2014-03-07,33.0,23.0,0.0,0.0,16.0
2014-03-08,29.0,15.0,0.0,0.0,16.0
2014-03-09,44.0,17.0,0.0,0.0,15.0
2014-03-10,53.0,32.0,0.0,0.0,15.0
2014-03-11,44.0,29.0,0.0,0.0,13.0
2014-03-12,30.0,19.0,0.0,0.0,11.0
2014-03-13,50.0,20.0,0.0,0.0,10.0
2014-03-14,44.0,26.0,0.0,0.0,6.0
2014-03-15,31.0,20.0,0.0,0.0,5.0
