자치구,정류장수,노선수,승차총승객수,하차총승객수,승차평균승객수,하차평균승객수
강남구,502,99,9113021,8640353,135.1639079232298,128.1533179081012
강동구,376,24,3306588,3242901,94.63888491370675,92.81607945276052
강북구,410,71,5244436,5077041,138.24430619991566,133.83174293547026
강서구,565,54,5244615,5218001,93.10683662056844,92.63436240657565
관악구,465,82,7691243,7850254,147.777792721823,150.83299389002036
광진구,278,43,3207725,3228754,118.75624745474066,119.5347821258006
구로구,478,81,5525646,5324566,125.11935330480266,120.5662205918982
금천구,344,56,3990114,3839246,129.95420792079207,125.04058103178738
노원구,495,61,4609496,4535591,88.73630308397182,87.31357563623763
도봉구,366,57,3575712,3493061,110.5799109351806,108.02390524492826
동대문구,309,75,5887202,5770880,135.50619159416286,132.8287989688349
동작구,435,94,5483153,5292264,120.56185136323658,116.36464379947229
마포구,561,102,6118596,5943912,107.15767351442231,104.09835548783691
서대문구,456,109,6635861,6554692,114.10841902534649,112.71265949031881
서초구,602,105,7776846,7575195,125.08196352172934,121.83863029562197
성동구,432,58,3185165,3134742,100.74216402568238,99.14735743429168
성북구,596,100,6610774,6642472,116.67650329162181,117.23595545279656
송파구,476,62,6172655,6176516,107.37293000278319,107.44009184525466
양천구,319,57,4483720,4310824,102.4288390368712,98.479097180975
영등포구,466,101,6555386,6611792,125.32761059916645,126.40599548808932
용산구,325,70,4764100,4663071,136.0821503042075,133.19634951012597
은평구,494,76,5723211,5636929,103.49199833637728,101.93177338565306
종로구,359,107,6030756,5793573,136.74563511858872,131.36757970160085
중구,172,102,4384564,4238810,132.19259527255187,127.79817896767969
중랑구,384,50,4220995,4167084,83.24284615536317,82.17965961307118
