자치구,택시운송업,기타주점업,남녀용 겉옷 및 셔츠 도매업,일반 교과 학원
종로구,215,1413,962,382
중구,235,982,24248,175
용산구,523,1332,317,573
성동구,2527,621,1572,1494
광진구,1744,1577,687,1646
동대문구,2093,1082,976,984
중랑구,6262,1000,284,1045
성북구,2643,1030,454,1755
강북구,2589,1275,94,740
도봉구,5783,477,43,1162
노원구,6074,844,123,3281
은평구,4430,925,74,1793
서대문구,2677,1127,68,1268
마포구,1838,2559,1209,1855
양천구,4942,851,52,5804
강서구,6922,1709,700,2347
구로구,3817,1165,923,1111
금천구,2598,685,2575,487
영등포구,2397,1489,1220,1082
동작구,1115,955,199,1463
관악구,2027,1672,190,1230
서초구,903,1255,1563,3812
강남구,2517,2528,8320,9020
송파구,4850,1469,2830,4160
강동구,4980,1349,1433,2104
