자치구,평균 이동 시간(분),이동인구(합),총 이동 시간,총 이동인구
강남구,65.22087410669019,89.88008250744859,37563832,51766253.76
강동구,71.13569503514583,67.08811103937012,27212889,25664489.79
강북구,65.25879577198943,38.29078034837944,24201877,14200518.8
강서구,70.10782868612124,59.547526752130715,30772920,26137612.75
관악구,63.06453645097453,47.985346135322494,27629141,21022812.01
광진구,60.20526214840974,44.34491340697032,26680865,19652113.55
구로구,63.98318628551351,43.32198900069295,26223125,17755257.26
금천구,65.84880668178842,30.79933995516377,19914918,9314767.58
노원구,66.70598442525817,52.344090203713115,28370322,22262150.94
도봉구,66.68330823005758,36.91502567580661,22711868,12572999.34
동대문구,59.20657938157765,39.15035822759002,28168063,18626135.28
동작구,58.50026597610969,40.63109281094871,25843604,17949557.24
마포구,60.9428149474513,52.70697631661514,30495358,26374202.0
서대문구,59.917230251949135,41.51741540579269,26552021,18398235.05
서초구,63.284076509057904,64.60808810040709,32910441,33598983.96
성동구,57.487400381341594,40.110183670423325,27346124,19079973.16
성북구,59.975355464334584,43.4258608058608,28227521,20438468.24
송파구,70.60643281179148,83.34536569638526,33944325,40068617.94
양천구,61.751583821326435,45.073535367016206,22672094,16548748.51
영등포구,60.477099741875705,55.98586323694876,31067449,28760273.86
용산구,57.799266837938134,35.598386528361736,26930239,16586249.44
은평구,68.03644099100633,50.992605701141954,25970394,19464540.5
종로구,58.194684695987924,41.92466943771021,28757369,20717410.8
중구,56.49542517179211,43.89537420564166,28421662,22082840.96
중랑구,62.806199545517316,39.61174222545856,25012883,15775574.4
