자치구,노령층 평균 이동 시간,노령층 평균 이동인구,노령층 총 이동 시간,노령층 총 이동인구
강남구,69.4274511402865,75.45090665688113,5108333,5551526.81
강동구,75.26867492298467,87.63493125478115,3640520,4238638.72
강북구,66.04284077406213,61.211339118995085,3112467,2884767.99
강서구,74.08440548839741,71.41060150814319,3811939,3674361.09
관악구,65.6245210008265,60.11555131865655,3493587,3200311.49
광진구,61.62116007459024,52.110550986357836,3139290,2654772.02
구로구,66.47649378222627,51.38864988373269,3287595,2541425.68
금천구,66.12831263602612,36.10404621687364,2066113,1128034.82
노원구,70.17905761131168,71.45636206377858,3732403,3800335.16
도봉구,69.10412180532899,57.18412724306688,3177062,2629040.25
동대문구,62.584860780747164,52.23465852028046,4025646,3359889.94
동작구,60.68640918617143,54.64361723111604,3445835,3102719.23
마포구,62.757631805775034,50.48355534405976,3494847,2811328.23
서대문구,61.798625323396536,50.48309263621268,3200798,2614721.3
서초구,65.83465916780703,67.41920058948254,4377939,4483309.42
성동구,59.1746343905317,43.88949243751564,3309874,2454914.87
성북구,62.73754795893678,57.70117641975736,3630120,3338705.47
송파구,73.10513493900964,91.5997242475552,4231179,5301608.84
양천구,63.87201919006632,55.782090682470255,2715966,2371966.06
영등포구,62.07741089338065,54.60885280049375,4023237,3539199.75
용산구,62.849174434334635,35.28972017864092,3391530,1904339.17
은평구,72.3665695253955,76.45955349708576,3476490,3673116.95
종로구,61.16515165151652,45.40173431734318,4077636,3026752.02
중구,59.806792890505,40.70222156045265,3815793,2596883.14
중랑구,65.35113754706401,55.4067856284547,3263113,2766571.62
