자치구,남자,여자,합계
종로구,71654,78390,150044
중구,63365,68392,131757
용산구,105480,113343,218823
성동구,136779,146555,283334
광진구,166541,183141,349682
동대문구,173830,185713,359543
중랑구,188685,197925,386610
성북구,207616,228447,436063
강북구,139260,150567,289827
도봉구,148622,159162,307784
노원구,239118,260343,499461
은평구,221603,246686,468289
서대문구,148914,170489,319403
마포구,173001,200763,373764
양천구,212458,223849,436307
강서구,270025,294460,564485
구로구,203142,209735,412877
금천구,121008,119081,240089
영등포구,195211,202610,397821
동작구,187138,201865,389003
관악구,248571,248566,497137
서초구,196114,216033,412147
강남구,268993,293762,562755
송파구,315700,342660,658360
강동구,228197,239705,467902
